City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,corrente,-3.7367,-43.3394,71.89,98,100,2.53,BR,1675131614
84,kavaratti,10.5669,72.642,80.26,70,100,16.73,IN,1675131183
85,halifax,44.6453,-63.5724,39.22,90,98,10.36,CA,1675131417
86,sitka,57.0531,-135.33,37.29,93,100,4.61,US,1675131486
87,lebu,-37.6167,-73.65,57.36,83,0,22.37,CL,1675131345
88,lompoc,34.6391,-120.4579,52.21,71,0,8.99,US,1675131499
89,lapeer,43.0514,-83.3188,13.95,67,100,12.66,US,1675131616
90,nampa,43.5407,-116.5635,18.79,67,0,5.75,US,1675131616
91,berlevag,70.8578,29.0864,33.75,80,20,9.22,NO,1675131617
92,port alfred,-33.5906,26.891,66.18,95,97,3.0,ZA,1675131449
93,lagoa,39.05,-27.9833,57.34,72,100,14.07,PT,1675131618
94,japura,-0.3167,102.35,73.4,99,100,2.42,ID,1675131574
95,merauke,-8.4667,140.3333,84.15,74,97,6.76,ID,1675131618
96,strezhevoy,60.7333,77.5889,8.01,96,100,6.87,RU,1675131619
97,adeje,28.1227,-16.726,61.02,59,40,8.05,ES,1675131619
98,yerbogachen,61.2767,108.0108,-30.6,100,56,3.8,RU,1675131619
99,aksu,41.1231,80.2644,12.9,91,100,2.73,CN,1675131620
100,hirara,24.8,125.2833,66.06,59,20,10.36,JP,1675131620
101,hualmay,-11.0964,-77.6139,71.74,82,100,6.38,PE,1675131621
102,khash,28.2211,61.2158,43.27,42,0,1.23,IR,1675131621
103,davila,18.4726,120.5763,84.18,62,4,7.92,PH,1675131622
104,neiafu,-18.65,-173.9833,86.68,74,75,11.5,TO,1675131622
105,padang,-0.9492,100.3543,82.45,82,100,2.95,ID,1675131452
106,auki,-8.7676,160.7034,82.72,76,100,7.67,SB,1675131332
107,chebsara,59.2002,38.8356,27.7,95,100,13.67,RU,1675131623
108,castro,-24.7911,-50.0119,62.46,97,100,2.46,BR,1675131341
109,vienenburg,51.95,10.5667,39.22,93,98,17.6,DE,1675131623
110,chokurdakh,70.6333,147.9167,8.1,95,100,9.06,RU,1675131571
111,qandala,11.472,49.8728,71.55,63,95,7.07,SO,1675131624
112,mahibadhoo,3.7833,72.9667,79.43,76,100,6.73,MV,1675131624
113,teguise,29.0605,-13.564,55.62,67,0,9.22,ES,1675131625
114,bredasdorp,-34.5322,20.0403,64.62,80,37,12.68,ZA,1675131466
115,richards bay,-28.783,32.0377,70.52,95,100,6.98,ZA,1675131172
116,kvareli,41.9524,45.8151,35.92,67,66,4.56,GE,1675131626
117,arraial do cabo,-22.9661,-42.0278,76.57,87,100,27.65,BR,1675131470
118,tchaourou,8.8865,2.5975,77.86,18,86,0.43,BJ,1675131626
119,lumberton,34.6182,-79.0086,57.9,100,40,3.44,US,1675131627
120,saint george,37.1041,-113.5841,34.39,51,0,5.75,US,1675131431
121,ajdabiya,30.7554,20.2263,53.58,73,3,7.81,LY,1675131627
122,santiago del estero,-27.7951,-64.2615,78.08,73,18,6.02,AR,1675131485
123,nome,64.5011,-165.4064,31.15,100,100,5.75,US,1675131495
124,le port,-20.9373,55.2919,80.6,83,16,2.84,RE,1675131628
125,tiksi,71.6872,128.8694,-18.76,98,100,8.46,RU,1675131344
126,iberia,29.9502,-91.7507,66.96,94,100,3.44,US,1675131629
127,progreso,21.2833,-89.6667,77.11,79,0,13.78,MX,1675131629
128,port hedland,-20.3167,118.5667,93.25,49,85,6.91,AU,1675131568
129,tasiilaq,65.6145,-37.6368,12.36,92,100,5.23,GL,1675131463
130,fort dodge,42.4975,-94.168,-6.18,64,0,0.0,US,1675131339
131,greenfield,42.9614,-88.0126,6.39,61,0,6.91,US,1675131543
132,simao,22.7886,100.9748,61.48,56,5,1.61,CN,1675131630
133,vila velha,-20.3297,-40.2925,76.95,89,40,3.44,BR,1675131492
134,shingu,33.7333,135.9833,45.68,36,0,1.77,JP,1675131483
135,te anau,-45.4167,167.7167,78.53,53,40,5.84,NZ,1675131631
136,khanpur,28.6453,70.6567,52.23,63,0,8.88,PK,1675131631
137,san bernardo,-33.6,-70.7167,79.14,44,0,2.86,CL,1675131632
138,cape town,-33.9258,18.4232,69.39,62,0,14.97,ZA,1675131437
139,miraflores,19.2167,-98.8083,68.04,52,4,2.57,MX,1675131632
140,tagusao,9.1924,117.8141,75.99,94,100,4.0,PH,1675131633
141,upernavik,72.7868,-56.1549,2.57,78,100,8.03,GL,1675131488
142,magadan,59.5667,150.8,9.68,76,100,7.18,RU,1675131633
143,jurm,36.8648,70.8342,25.68,59,100,7.11,AF,1675131634
144,waspan,14.7419,-83.9717,70.63,97,56,3.29,NI,1675131634
145,carnarvon,-24.8667,113.6333,79.0,67,80,8.79,AU,1675131346
146,greiz,50.65,12.2,37.15,87,100,5.99,DE,1675131635
147,severo-kurilsk,50.6789,156.125,24.98,55,94,22.15,RU,1675131542
148,palauig,15.435,119.9045,81.99,57,51,1.54,PH,1675131635
149,dingle,10.9995,122.6711,80.38,81,99,16.28,PH,1675131636
150,mastic beach,40.7668,-72.8521,45.99,93,0,8.05,US,1675131608
151,lubana,56.9,26.7167,33.06,97,100,11.43,LV,1675131636
152,sistranda,63.7256,8.834,35.56,62,98,28.25,NO,1675131637
153,hamilton,39.1834,-84.5333,30.94,88,100,11.5,US,1675131637
154,atar,20.5169,-13.0499,62.02,29,100,7.25,MR,1675131478
155,codrington,-38.2667,141.9667,67.6,53,65,9.35,AU,1675131489
156,pilar,-9.5972,-35.9567,75.13,83,71,2.59,BR,1675131638
157,leh,34.1667,77.5833,8.67,89,97,3.22,IN,1675131603
158,mfou,3.7159,11.6427,62.46,100,20,0.0,CM,1675131639
159,saint-philippe,-21.3585,55.7679,80.19,86,39,6.24,RE,1675131639
160,zhanaozen,43.3,52.8,27.91,54,45,9.17,KZ,1675131497
161,nowy sacz,49.6218,20.6971,33.6,97,100,9.75,PL,1675131364
162,guia lopes da laguna,-21.4578,-56.1142,74.39,86,32,5.1,BR,1675131640
163,hasaki,35.7333,140.8333,45.28,45,100,11.45,JP,1675131455
164,salinopolis,-0.6136,-47.3561,76.55,88,100,5.17,BR,1675131347
165,sola,-13.8833,167.55,79.84,76,100,5.39,VU,1675131474
166,aripuana,-9.1667,-60.6333,72.3,98,95,0.51,BR,1675131641
167,iquique,-20.2208,-70.1431,73.44,82,100,1.19,CL,1675131641
168,shabrovskiy,56.636,60.5807,21.92,80,100,8.95,RU,1675131641
169,kalmunai,7.4167,81.8167,74.3,93,100,14.56,LK,1675131642
170,clyde river,70.4692,-68.5914,-16.37,69,100,4.61,CA,1675131642
171,ugoofaaru,5.6667,73.0,79.25,72,100,6.78,MV,1675131643
172,avarua,-21.2078,-159.775,77.05,94,75,10.36,CK,1675131135
173,leningradskiy,69.3833,178.4167,12.63,95,100,11.5,RU,1675131643
174,micheweni,-4.9667,39.8333,78.98,75,96,7.7,TZ,1675131644
175,isangel,-19.55,169.2667,83.3,71,100,1.74,VU,1675131644
176,odienne,9.51,-7.5692,71.56,17,5,4.03,CI,1675131645
177,aklavik,68.2191,-135.0107,-30.93,100,40,0.87,CA,1675131645
178,rio gallegos,-51.6226,-69.2181,50.05,53,0,11.5,AR,1675131645
179,ixtapa,20.7,-105.2,74.43,78,0,9.22,MX,1675131477
180,saldanha,-33.0117,17.9442,60.85,73,0,3.15,ZA,1675131507
181,nanortalik,60.1432,-45.2371,24.51,82,100,18.68,GL,1675131495
182,fereydun kenar,36.6864,52.5225,47.95,78,99,4.85,IR,1675131646
183,torbay,47.6666,-52.7314,35.58,95,75,12.66,CA,1675131491
184,london,51.5085,-0.1257,42.55,84,90,9.22,GB,1675131373
