City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-joseph,-21.3667,55.6167,79.18,79,100,7.18,RE,1675191209
84,port lincoln,-34.7333,135.8667,64.11,62,98,5.79,AU,1675191150
85,vila velha,-20.3297,-40.2925,84.15,73,40,17.27,BR,1675191209
86,kem,64.9555,34.5793,23.22,92,100,10.98,RU,1675191210
87,panjab,34.388,67.0233,12.72,98,100,3.53,AF,1675191130
88,broome,42.2506,-75.833,28.47,62,100,12.66,US,1675191210
89,kodiak,57.79,-152.4072,36.91,93,100,9.22,US,1675191211
90,beringovskiy,63.05,179.3167,26.19,94,59,12.53,RU,1675191211
91,wanning,18.8003,110.3967,66.87,92,15,0.83,CN,1675191212
92,mount pleasant,32.7941,-79.8626,71.58,91,75,6.91,US,1675191070
93,east london,-33.0153,27.9116,74.34,88,75,14.97,ZA,1675191213
94,tasiilaq,65.6145,-37.6368,10.56,82,100,6.91,GL,1675191213
95,codrington,-38.2667,141.9667,58.59,76,100,8.01,AU,1675191213
96,lorengau,-2.0226,147.2712,80.24,80,100,7.72,PG,1675191214
97,kommunar,59.6206,30.39,31.55,95,100,8.57,RU,1675191214
98,beya,53.0533,90.9139,3.92,92,73,4.88,RU,1675191215
99,bambanglipuro,-7.95,110.2833,77.09,89,100,4.63,ID,1675191215
100,yellowknife,62.456,-114.3525,-26.88,68,75,8.05,CA,1675191216
101,sao joao da barra,-21.6403,-41.0511,86.09,80,89,16.28,BR,1675191216
102,bengkulu,-3.8004,102.2655,74.17,93,100,5.41,ID,1675191010
103,teguise,29.0605,-13.564,61.02,45,0,14.97,ES,1675191218
104,iqaluit,63.7506,-68.5145,-15.07,64,100,19.57,CA,1675191218
105,novyy urengoy,66.0833,76.6333,-1.91,98,90,10.36,RU,1675191219
106,padang,-0.9492,100.3543,77.05,89,100,4.79,ID,1675191082
107,jamestown,42.097,-79.2353,20.84,68,100,3.44,US,1675191000
108,saint-philippe,-21.3585,55.7679,80.19,79,100,7.96,RE,1675191009
109,tura,25.5198,90.2201,62.69,54,100,1.52,IN,1675190945
110,sandwick,60.0,-1.25,44.42,70,40,31.07,GB,1675191221
111,hambantota,6.1241,81.1185,75.54,100,40,2.3,LK,1675191222
112,takoradi,4.8845,-1.7554,80.74,78,100,8.01,GH,1675190990
113,yar-sale,66.8333,70.8333,8.74,91,100,14.72,RU,1675191050
114,varhaug,58.6147,5.6457,40.89,80,97,30.74,NO,1675191223
115,victoria,22.2855,114.1577,66.94,78,91,5.99,HK,1675191223
116,faanui,-16.4833,-151.75,80.87,76,20,14.34,PF,1675191223
117,kaoma,-14.7833,24.8,65.26,97,100,7.94,ZM,1675191224
118,lebu,-37.6167,-73.65,61.75,64,0,17.92,CL,1675190980
119,carnarvon,-24.8667,113.6333,75.4,84,1,18.61,AU,1675191224
120,vila franca do campo,37.7167,-25.4333,57.61,80,44,9.93,PT,1675191225
121,hermanus,-34.4187,19.2345,69.8,79,38,11.72,ZA,1675191225
122,leszno,51.8403,16.5749,40.01,96,100,22.26,PL,1675191225
123,maryborough,-25.5333,152.7,77.41,82,100,8.19,AU,1675191226
124,peleduy,59.6289,112.7406,0.32,95,100,8.39,RU,1675191226
125,luderitz,-26.6481,15.1594,63.05,90,0,8.75,NA,1675191227
126,gamba,-2.65,10.0,77.94,82,33,7.9,GA,1675191227
127,pangnirtung,66.1451,-65.7125,-31.0,68,40,5.75,CA,1675191227
128,taoudenni,22.6783,-3.9836,63.82,14,60,11.01,ML,1675191228
129,sistranda,63.7256,8.834,28.36,66,100,11.41,NO,1675191229
130,anadyr,64.75,177.4833,25.3,85,100,29.08,RU,1675191229
131,voyvozh,62.892,54.9635,24.44,92,100,12.15,RU,1675191229
132,chifeng,42.2683,118.9636,14.56,42,0,24.49,CN,1675191230
133,zhangzhou,24.5133,117.6556,57.13,65,100,0.78,CN,1675191230
134,lasa,46.6166,10.7002,41.88,60,85,7.65,IT,1675191043
135,ampanihy,-24.7,44.75,68.16,73,2,14.27,MG,1675191231
136,mahon,39.8885,4.2658,48.76,71,40,9.22,ES,1675191099
137,pevek,69.7008,170.3133,13.51,77,0,10.27,RU,1675191103
138,roma,43.2128,-75.4557,24.51,55,100,6.91,US,1675191124
139,laramie,41.3114,-105.5911,25.54,45,0,23.02,US,1675190982
140,khatanga,71.9667,102.5,-42.56,100,75,5.12,RU,1675190971
141,souillac,-20.5167,57.5167,80.98,83,40,4.61,MU,1675191232
142,la palma,33.8464,-118.0467,64.35,42,20,4.61,US,1675191120
143,nerchinskiy zavod,51.3088,119.61,-14.24,99,99,3.15,RU,1675191233
144,benguela,-12.5763,13.4055,78.67,78,84,8.03,AO,1675191233
145,arraial do cabo,-22.9661,-42.0278,87.76,58,0,20.71,BR,1675191234
